Project Name,Street Name,Property Type,Sale Date,Transacted Price ($),Unit Price ($ PSF),Area (SQFT),Postal District,Floor Level,Tenure,latitude,longitude,geocoded_address,price_level,psf_level
BEACH ROAD CONSERVATION AREA,PURVIS STREET,Shop House,2026-02-01,14000000,8407.0,1665.19,7,-,999 yrs lease commencing from 1827,1.29674959280256,103.85514042372,7 PURVIS STREET BEACH ROAD CONSERVATION AREA SINGAPORE 188586,>10M,>7k PSF
BUKIT TIMAH PLAZA,JALAN ANAK BUKIT,Retail,2026-02-01,65395697,1459.0,44810.53,21,B1 to B5,99 yrs lease commencing from 1976,1.33875930729064,103.778600077834,1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA SINGAPORE 588996,>10M,<2k PSF
CITY GATE,BEACH ROAD,Retail,2026-02-01,900000,2260.0,398.27,7,B1 to B5,99 yrs lease commencing from 2014,1.30231590504573,103.862331661034,371 BEACH ROAD CITY GATE SINGAPORE 199597,<1M,2-4k PSF
CORONATION SHOPPING PLAZA,BUKIT TIMAH ROAD,Retail,2026-02-01,32386440,3177.0,10193.51,10,01 to 05,Freehold,1.32383512178759,103.809999570047,587 BUKIT TIMAH ROAD CORONATION SHOPPING PLAZA SINGAPORE 269707,>10M,2-4k PSF
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Retail,2026-02-01,1900000,4203.0,452.09,9,01 to 05,999 yrs lease commencing from 1871,1.30550610748913,103.829984822014,545 ORCHARD ROAD FAR EAST SHOPPING CENTRE SINGAPORE 238882,1-3M,4-7k PSF
FORTUNE CENTRE,MIDDLE ROAD,Retail,2026-02-01,950000,2942.0,322.92,7,01 to 05,99 yrs lease commencing from 1980,1.30042241913975,103.852286627386,190 MIDDLE ROAD FORTUNE CENTRE SINGAPORE 188979,<1M,2-4k PSF
LUCKY PLAZA,ORCHARD ROAD,Retail,2026-02-01,3500000,6376.0,548.96,9,01 to 05,Freehold,1.30450604646634,103.833962339817,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,3-10M,4-7k PSF
LUCKY PLAZA,ORCHARD ROAD,Retail,2026-02-01,4208800,8500.0,495.14,9,B1 to B5,Freehold,1.30450604646634,103.833962339817,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,3-10M,>7k PSF
PARKLANE SHOPPING MALL,SELEGIE ROAD,Retail,2026-02-01,800000,1062.0,753.48,7,06 to 10,99 yrs lease commencing from 1974,1.30064530196806,103.849448612005,35 SELEGIE ROAD PARKLANE SHOPPING MALL SINGAPORE 188307,<1M,<2k PSF
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Retail,2026-02-01,2200000,4866.0,452.09,1,B1 to B5,99 yrs lease commencing from 1970,1.28577009981805,103.843980122838,101 UPPER CROSS STREET PEOPLE'S PARK CENTRE SINGAPORE 058357,1-3M,4-7k PSF
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,2026-02-01,712888,1790.0,398.27,7,01 to 05,99 yrs lease commencing from 1983,1.3030242605718,103.853037814067,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,<1M,<2k PSF
THE BENCOOLEN,BENCOOLEN STREET,Retail,2026-02-01,945000,5853.0,161.46,7,01 to 05,99 yrs lease commencing from 1995,1.30166188823652,103.853356123694,180 BENCOOLEN STREET THE BENCOOLEN SINGAPORE 189646,<1M,4-7k PSF
UNITED HOUSE,KRAMAT LANE,Retail,2026-02-01,1350000,3059.0,441.32,9,01 to 05,Freehold,1.30106278129951,103.842462745411,20 KRAMAT LANE UNITED HOUSE SINGAPORE 228773,1-3M,2-4k PSF
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Retail,2026-01-01,388000,4005.0,96.88,21,01 to 05,99 yrs lease commencing from 1979,1.34241264188642,103.776539385406,144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177,<1M,4-7k PSF
BUKIT PANJANG PLAZA,JELEBU ROAD,Retail,2026-01-01,428000000,2984.0,143408.77,23,-,99 yrs lease commencing from 1994,1.37992045176243,103.764357180314,1 JELEBU ROAD BUKIT PANJANG PLAZA SINGAPORE 677743,>10M,2-4k PSF
BURLINGTON SQUARE,BENCOOLEN STREET,Retail,2026-01-01,840000,3122.0,269.1,7,01 to 05,99 yrs lease commencing from 1996,1.30224327074302,103.85270021499,175 BENCOOLEN STREET BURLINGTON SQUARE SINGAPORE 189649,<1M,2-4k PSF
GIFFARD MANSIONS,BALESTIER ROAD,Retail,2026-01-01,968000,1697.0,570.49,12,01 to 05,Freehold,1.32619717807328,103.84910065649,424 BALESTIER ROAD GIFFARD MANSIONS SINGAPORE 329810,<1M,<2k PSF
JADESCAPE,SHUNFU ROAD,Retail,2026-01-01,1860000,3456.0,538.2,20,01 to 05,99 yrs lease commencing from 2018,1.35176163249001,103.839046663239,2 SHUNFU ROAD JADESCAPE SINGAPORE 575742,1-3M,2-4k PSF
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Retail,2026-01-01,700000,3252.0,215.28,15,01 to 05,Freehold,1.3040973115095,103.901515916971,865 MOUNTBATTEN ROAD KATONG SHOPPING CENTRE SINGAPORE 437844,<1M,2-4k PSF
LUCKY PLAZA,ORCHARD ROAD,Retail,2026-01-01,2500000,3871.0,645.84,9,01 to 05,Freehold,1.30450604646634,103.833962339817,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,1-3M,2-4k PSF
LUCKY PLAZA,ORCHARD ROAD,Retail,2026-01-01,2288000,3865.0,592.02,9,01 to 05,Freehold,1.30450604646634,103.833962339817,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,1-3M,2-4k PSF
LUCKY PLAZA,ORCHARD ROAD,Retail,2026-01-01,1066000,5212.0,204.52,9,01 to 05,Freehold,1.30450604646634,103.833962339817,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,1-3M,4-7k PSF
NORMANTON PARK,NORMANTON PARK,Retail,2026-01-01,2300000,4856.0,473.62,5,01 to 05,99 yrs lease commencing from 2019,1.28749505390492,103.793610594541,1 NORMANTON PARK NORMANTON PARK SINGAPORE 118998,1-3M,4-7k PSF
PARKLANE SHOPPING MALL,SELEGIE ROAD,Retail,2026-01-01,841000,1595.0,527.44,7,01 to 05,99 yrs lease commencing from 1974,1.30064530196806,103.849448612005,35 SELEGIE ROAD PARKLANE SHOPPING MALL SINGAPORE 188307,<1M,<2k PSF
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,2026-01-01,788888,3857.0,204.52,1,01 to 05,99 yrs lease commencing from 1968,1.28413397178419,103.842519972666,1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108,<1M,2-4k PSF
SIN CHUAN GARDEN,WARINGIN PARK,Shop House,2026-01-01,2450000,1497.0,1636.13,14,-,Freehold,1.32224914811205,103.918192945046,2 WARINGIN PARK SIN CHUAN GARDEN SINGAPORE 416316,1-3M,<2k PSF
SOUTHBANK,NORTH BRIDGE ROAD,Retail,2026-01-01,518000,4010.0,129.17,7,01 to 05,99 yrs lease commencing from 2006,1.30631203112933,103.864308334438,881 NORTH BRIDGE ROAD SOUTHBANK SINGAPORE 198784,<1M,4-7k PSF
THE COMMERZE@IRVING,IRVING PLACE,Retail,2026-01-01,548888,1500.0,365.98,13,01 to 05,60 yrs lease commencing from 2011,1.33623678708616,103.88643382511,1 IRVING PLACE THE COMMERZE@IRVING SINGAPORE 369546,<1M,<2k PSF
THE GOLDEN LANDMARK,VICTORIA STREET,Retail,2026-01-01,1038000,2143.0,484.38,7,01 to 05,99 yrs lease commencing from 1981,1.30197196437956,103.857804288546,390 VICTORIA STREET THE GOLDEN LANDMARK SINGAPORE 188061,1-3M,2-4k PSF
